Chromosome	start	end	length (bp)	num
chr2	26467036	26468254	1218	1
chr2	44001058	44001697	639	2
chr6	111279570	111280284	714	3
chr9	42250887	42252034	1147	4
chr11	60897060	60897993	933	5
chr2	85554867	85555576	709	6
chr2	29092879	29093752	873	7
chr3	10362545	10363005	460	8
chr3	149469875	149470621	746	9
chr7	76178349	76179154	805	10
chr1	184019937	184021338	1401	11
chr2	74374533	74375411	878	12
chr1	41981725	41982384	659	13
chr1	111682280	111683442	1162	14
chr6	116989385	116990252	867	15
chr16	30886131	30887025	894	16
chr2	62115380	62116137	757	17
chr16	57519943	57520563	620	18
chrX	118602929	118603489	560	19
chr11	118938134	118938641	507	20
chr2	46163054	46163827	773	21
chr9	139333354	139334510	1156	22
chr11	57102601	57103549	948	23
chr16	48656963	48657905	942	24
chr3	197807490	197808110	620	25
chr6	7261039	7262034	995	26
chr16	57662008	57662665	657	27
chr20	25841949	25842630	681	28
chr1	246670065	246670923	858	29
chr17	7790641	7791477	836	30
chr11	126152782	126153661	879	31
chr16	57843852	57844515	663	32
chr1	246887302	246888179	877	33
chr7	56131647	56132506	859	34
chr5	134181390	134182085	695	35
chr5	131723336	131723946	610	36
chr1	55181317	55181967	650	37
chr2	64994670	64995574	904	38
chr20	34679967	34682038	2071	39
chr12	95466712	95467632	920	40
chr2	58468013	58468778	765	41
chr1	32039438	32040302	864	42
chr1	36616361	36616832	471	43
chr2	24163119	24163899	780	44
chr1	201083168	201084068	900	45
chr20	43588769	43589257	488	46
chr7	75114638	75115751	1113	47
chr2	46726902	46727649	747	48
chr1	223307010	223307647	637	49
chr9	132648026	132648443	417	50
chr20	62886618	62887473	855	51
chr2	218766904	218768003	1099	52
chr11	67373922	67374535	613	53
chr15	85113574	85114670	1096	54
chr1	151913603	151914281	678	55
chr11	34126937	34127469	532	56
chr18	48494158	48495085	927	57
chr15	41952265	41953179	914	58
chr2	62080871	62081462	591	59
chr22	47150036	47150699	663	60
chr19	17622038	17623231	1193	61
chr2	9282818	9283235	417	62
chr5	1799623	1800188	565	63
chr1	21650883	21651587	704	64
chr11	72433160	72433792	632	65
chr7	26437761	26439091	1330	66
chr2	134877140	134877910	770	67
chr1	59280748	59281659	911	68
chr10	51488718	51489783	1065	69
chr1	148531969	148532906	937	70
chr14	24701285	24702232	947	71
chr7	50517591	50518629	1038	72
chr1	226270679	226271550	871	73
chr2	170590037	170591009	972	74
chr14	24779865	24780660	795	75
chr7	151451230	151451731	501	76
chr2	172750293	172751197	904	77
chr16	28985799	28986671	872	78
chr7	30517812	30518589	777	79
chr1	3712698	3713304	606	80
chr9	91794633	91795618	985	81
chr7	43768716	43769500	784	82
chr2	113450016	113450596	580	83
chr6	13328370	13328983	613	84
chr12	112279595	112280443	848	85
chr9	139795833	139796645	812	86
chr11	64102554	64103149	595	87
chr16	66906947	66907644	697	88
chr11	69064598	69065375	777	89
chr9	138818552	138819366	814	90
chr3	183415441	183416159	718	91
chr2	73461089	73461808	719	92
chr9	136009086	136009644	558	93
chr15	39871774	39872756	982	94
chr3	183024611	183025371	760	95
chr7	96338728	96339306	578	96
chr1	231376653	231377603	950	97
chr10	104952249	104953247	998	98
chr20	36661721	36662380	659	99
chr9	131084628	131085422	794	100
chr17	8125259	8126575	1316	101
chr14	92506092	92506815	723	102
chr11	45792845	45793768	923	103
chr7	98923320	98923832	512	104
chr7	1576641	1577182	541	105
chr11	65239394	65239971	577	106
chr10	90639698	90640861	1163	107
chr3	123751587	123752498	911	108
chr6	30749296	30750209	913	109
chr6	89855524	89856485	961	110
chr2	69968768	69969562	794	111
chr2	74347178	74347794	616	112
chr1	146373423	146374115	692	113
chr17	16118289	16119271	982	114
chr7	2598462	2599305	843	115
chr1	226373822	226374850	1028	116
chr7	42927524	42928691	1167	117
chr11	111741605	111742446	841	118
chr15	85176691	85177566	875	119
chr1	205180386	205181146	760	120
