seqnames	start	end	annot	transcript_id	symbol	bp	Isblue?
chr17	52977819	52978913	promoter	ENST00000575909	TOM1L1	1094	y
chr10	134254015	134254324	promoter	ENST00000450206	RP11-432J24.3	309	
chr10	1506248	1507137	intron	ENST00000381312	ADARB2	889	
chr9	27625883	27626853	intergenic	ENST00000400348	CTAGE12P	970	y
chr14	105698636	105698888	intron	ENST00000550208	BRF1	252	
chr7	401254	401879	intergenic	ENST00000515213	AC226118.1	625	
chr7	4652611	4652868	intergenic	ENST00000446823	FOXK1	257	
chr22	23744503	23745176	promoter	ENST00000420968	ZDHHC8P1	673	y
chrX	3615234	3616144	intron	ENST00000262848	PRKX	910	y
chr17	104433	104716	intron	ENST00000570638	RPH3AL	283	
chr2	1420825	1421839	intron	ENST00000382198	TPO	1014	
chr16	12895395	12895819	promoter	ENST00000539677	CPPED1	424	
chr16	89495481	89495932	intron	ENST00000566973	ANKRD11	451	
chr16	1389753	1390364	intron	ENST00000421665	BAIAP3	611	
chr6	2504483	2504975	intergenic	ENST00000606884	GMDS-AS1	492	
chr2	2016399	2016710	intron	ENST00000479156	MYT1L	311	
chr17	75480980	75481368	intron	ENST00000585638	9-Sep	388	
chr22	30601850	30602161	promoter	ENST00000432360	RP3-438O4.4	311	
chr1	3594879	3595126	intron	ENST00000357733	TP73	247	
chr11	460271	461039	promoter	ENST00000526878	PTDSS2	768	
chr9	138020994	138021355	intergenic	ENST00000371796	OLFM1	361	
chr12	123933887	123934119	intergenic	ENST00000605712	RP11-972P1.8	232	
chrX	10087464	10087962	intron	ENST00000454666	WWC3	498	y
chr18	56179682	56180292	intron	ENST00000361673	ALPK2	610	
chr18	18970975	18971689	intron	ENST00000584611	RP11-296E23.1	714	y
chr17	106478	107040	intron	ENST00000570638	RPH3AL	562	
chr18	20512914	20514073	promoter	ENST00000578831	RP11-739L10.1	1159	
chr11	70454	70919	intergenic	ENST00000519787	RP11-304M2.1	465	
chr2	242869770	242871341	intron	ENST00000429947	AC131097.3	1571	
chr19	40421670	40422156	intron	ENST00000221347	FCGBP	486	
chr11	92438452	92438798	intron	ENST00000525166	FAT3	346	
chr1	59246541	59247091	exon	ENST00000371222_43680	ENST00000371222_43680	550	y
chr18	6413976	6415319	promoter	ENST00000580162	L3MBTL4	1343	y
chr14	67878683	67879198	promoter	ENST00000557388	PLEK2	515	y
chr10	51566723	51567262	promoter	ENST00000414907	NCOA4	539	y
chr11	128149728	128150176	intergenic	ENST00000608492	RP11-702B10.1	448	
chr20	5344571	5345402	intergenic	ENST00000363443	RNA5-8SP7	831	
chr10	106087848	106088405	promoter	ENST00000358187	ITPRIP	557	
chr20	17540069	17540372	promoter	ENST00000377868	BFSP1	303	
chr7	66017307	66017790	intron	ENST00000445080	GS1-124K5.12	483	
chr2	9445224	9446284	intron	ENST00000315273	ASAP2	1060	
chr4	84255872	84256464	promoter	ENST00000513463	HPSE	592	y
chr6	78359808	78360616	intergenic	ENST00000602452	MEI4	808	y
chr18	21017554	21018179	promoter	ENST00000399707	TMEM241	625	y
chr19	4084177	4084702	intergenic	ENST00000262948	MAP2K2	525	
chr7	36555230	36555979	promoter	ENST00000471806	AOAH	749	
chr3	18799504	18799922	intron	ENST00000425799	AC144521.1	418	y
chr8	86375420	86376638	promoter	ENST00000517697	RP11-317J10.2	1218	y
chr16	33345278	33346583	promoter	ENST00000568752	RP11-989E6.10	1305	
chr7	63220603	63221633	intergenic	ENST00000605464	CICP24	1030	
chr2	87651678	87651939	intergenic	ENST00000444323	AC068279.3	261	
chr22	19434714	19435523	promoter	ENST00000333059	C22orf39	809	y
chr3	126945866	126946636	intergenic	ENST00000492080	RP11-305F5.2	770	
chr11	2011127	2011556	promoter	ENST00000419080	MRPL23-AS1	429	
chr11	119612823	119613563	intergenic	ENST00000533253	CTD-2523D13.2	740	
chr1	1293633	1294442	promoter	ENST00000445648	MXRA8	809	
chr11	102364324	102364756	intron	ENST00000529278	RP11-315O6.2	432	y
chr1	117900726	117901380	intergenic	ENST00000604156	RP11-188D8.1	654	
chr7	102091876	102092500	exon	ENST00000356387_249477	624		
chr10	92690759	92691502	intergenic	ENST00000364734	RNU6-740P	743	
chr10	135342280	135342918	promoter	ENST00000599428	AL161645.2	638	
chr12	124857925	124858331	intron	ENST00000448614	NCOR2	406	
chr18	9474785	9475995	promoter	ENST00000383432	RALBP1	1210	y
chrX	20396229	20397054	intergenic	ENST00000517169	RN7SKP183	825	y
chr1	2111576	2112325	intron	ENST00000505322	PRKCZ	749	
chr4	71450043	71450658	intergenic	ENST00000322937	AMBN	615	y
chr11	1086528	1086937	intron	ENST00000359061	MUC2	409	
chr2	10539305	10539660	intron	ENST00000419810	HPCAL1	355	
chr16	33348985	33350971	promoter	ENST00000568752	RP11-989E6.10	1986	
chr21	47410321	47410540	intron	ENST00000361866	COL6A1	219	
chr19	36774890	36775141	intergenic	ENST00000586345	CTD-3162L10.1	251	
chr19	36790418	36790944	intergenic	ENST00000586345	CTD-3162L10.1	526	
chr19	36791007	36791167	intergenic	ENST00000586345	CTD-3162L10.1	160	
chr16	32297453	32298796	intergenic	ENST00000568567	RP11-17M15.2	1343	
chr19	36785355	36785870	intergenic	ENST00000586345	CTD-3162L10.1	515	
chr12	9558298	9559027	intron	ENST00000540982	RP11-599J14.2	729	
chr3	125726687	125727535	promoter	ENST00000504118	SLC41A3	848	
chr10	129058797	129060504	intron	ENST00000464466	DOCK1	1707	
chr2	87642804	87643025	intergenic	ENST00000444323	AC068279.3	221	
chr1	11296642	11297523	intron	ENST00000361445	MTOR	881	
chr12	31871662	31871945	intron	ENST00000509386	AMN1	283	
chr5	1521927	1522688	promoter	ENST00000514484	LPCAT1	761	
chr1	4692485	4692949	intergenic	ENST00000378190	AJAP1	464	
chr1	66655817	66656717	intron	ENST00000412480	PDE4B	900	
chr1	16970486	16970660	promoter	ENST00000362058	CROCCP2	174	
chr19	6677696	6678735	promoter	ENST00000601475	C3	1039	
chr1	56933904	56934476	intergenic	ENST00000371250	PPAP2B	572	
chr1	4693158	4693721	intergenic	ENST00000378190	AJAP1	563	
chr12	123333197	123333659	promoter	ENST00000536772	HIP1R	462	
chr1	193406539	193407729	intergenic	ENST00000420807	LINC01031	1190	
chr3	121723306	121724477	promoter	ENST00000462014	ILDR1	1171	
chr2	209676292	209676942	intron	ENST00000419079	PTH2R	650	
chr12	3306839	3307985	intron	ENST00000011898	TSPAN9	1146	
chr11	94615832	94616486	intron	ENST00000545958	RP11-856F16.2	654	
chr1	3604957	3605264	promoter	ENST00000378280	TP73	307	
chr2	1391878	1392649	intron	ENST00000497517	TPO	771	
chr1	811189	812119	promoter	ENST00000427857	FAM41C	930	
chr19	38468627	38469128	intron	ENST00000476317	SIPA1L3	501	
chr1	238292984	238293512	intergenic	ENST00000445891	YWHAQP9	528	
chr13	39210941	39211343	intergenic	ENST00000447765	PRDX3P3	402	y
chr5	42811882	42812507	promoter	ENST00000508937	SEPP1	625	y
chr2	1560598	1560978	intron	ENST00000438247	AC144450.1	380	
